,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,labels,trending
0,React,withastro/astro,@astrojs/react,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-21 17:12:58,2023-09-21 17:10:10,6463,779.0,1760.0,177,5078.0,131.0,3155.0,35179.0,2023-09-19 09:23:37,@astrojs/vercel@5.0.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",61433.0,61433.0,605.0,https://www.npmjs.com/package/@astrojs/react,188795.0,188795.0,39,True,1,,,
1,Preact,withastro/astro,@astrojs/preact,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-21 17:12:58,2023-09-21 17:10:10,6463,779.0,1760.0,177,5078.0,131.0,3155.0,35179.0,2023-09-19 09:23:37,@astrojs/vercel@5.0.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",61433.0,61433.0,605.0,https://www.npmjs.com/package/@astrojs/preact,24071.0,24071.0,38,True,2,,,
2,Lit,withastro/astro,@astrojs/lit,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-21 17:12:58,2023-09-21 17:10:10,6463,779.0,1760.0,177,5078.0,131.0,3155.0,35179.0,2023-09-19 09:23:37,@astrojs/vercel@5.0.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",61433.0,61433.0,605.0,https://www.npmjs.com/package/@astrojs/lit,9608.0,9608.0,38,True,2,,,
3,SolidJS,withastro/astro,@astrojs/solid-js,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-21 17:12:58,2023-09-21 17:10:10,6463,779.0,1760.0,177,5078.0,131.0,3155.0,35179.0,2023-09-19 09:23:37,@astrojs/vercel@5.0.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",61433.0,61433.0,605.0,https://www.npmjs.com/package/@astrojs/solid-js,22389.0,22389.0,38,True,2,,,
4,Svelte,withastro/astro,@astrojs/svelte,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-21 17:12:58,2023-09-21 17:10:10,6463,779.0,1760.0,177,5078.0,131.0,3155.0,35179.0,2023-09-19 09:23:37,@astrojs/vercel@5.0.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",61433.0,61433.0,605.0,https://www.npmjs.com/package/@astrojs/svelte,42823.0,42823.0,38,True,2,,,
5,Vue,withastro/astro,@astrojs/vue,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-21 17:12:58,2023-09-21 17:10:10,6463,779.0,1760.0,177,5078.0,131.0,3155.0,35179.0,2023-09-19 09:23:37,@astrojs/vercel@5.0.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",61433.0,61433.0,605.0,https://www.npmjs.com/package/@astrojs/vue,49740.0,49740.0,38,True,2,,,
6,Cloudflare,withastro/astro,@astrojs/cloudflare,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-21 17:12:58,2023-09-21 17:10:10,6463,779.0,1760.0,177,5078.0,131.0,3155.0,35179.0,2023-09-19 09:23:37,@astrojs/vercel@5.0.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",61433.0,61433.0,605.0,https://www.npmjs.com/package/@astrojs/cloudflare,30271.0,30271.0,38,True,1,,,
7,Netlify,withastro/astro,@astrojs/netlify,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-21 17:12:58,2023-09-21 17:10:10,6463,779.0,1760.0,177,5078.0,131.0,3155.0,35179.0,2023-09-19 09:23:37,@astrojs/vercel@5.0.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",61433.0,61433.0,605.0,https://www.npmjs.com/package/@astrojs/netlify,17580.0,17580.0,38,True,1,,,
8,Node,withastro/astro,@astrojs/node,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-21 17:12:58,2023-09-21 17:10:10,6463,779.0,1760.0,177,5078.0,131.0,3155.0,35179.0,2023-09-19 09:23:37,@astrojs/vercel@5.0.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",61433.0,61433.0,605.0,https://www.npmjs.com/package/@astrojs/node,50444.0,50444.0,38,True,1,,,
9,Vercel,withastro/astro,@astrojs/vercel,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-21 17:12:58,2023-09-21 17:10:10,6463,779.0,1760.0,177,5078.0,131.0,3155.0,35179.0,2023-09-19 09:23:37,@astrojs/vercel@5.0.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",61433.0,61433.0,605.0,https://www.npmjs.com/package/@astrojs/vercel,39403.0,39403.0,38,True,1,,,
