,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,labels,trending
0,React,withastro/astro,@astrojs/react,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-19 17:08:57,2023-10-18 18:24:50,6612,727.0,1811.0,179,5232.0,103.0,3272.0,36060.0,2023-10-18 12:33:28,@astrojs/sitemap@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",67240.0,67240.0,623.0,https://www.npmjs.com/package/@astrojs/react,261182.0,261182.0,39,True,1,,,
1,Node,withastro/astro,@astrojs/node,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-19 17:08:57,2023-10-18 18:24:50,6612,727.0,1811.0,179,5232.0,103.0,3272.0,36060.0,2023-10-18 12:33:28,@astrojs/sitemap@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",67240.0,67240.0,623.0,https://www.npmjs.com/package/@astrojs/node,65498.0,65498.0,39,True,1,,,
2,Preact,withastro/astro,@astrojs/preact,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-19 17:08:57,2023-10-18 18:24:50,6612,727.0,1811.0,179,5232.0,103.0,3272.0,36060.0,2023-10-18 12:33:28,@astrojs/sitemap@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",67240.0,67240.0,623.0,https://www.npmjs.com/package/@astrojs/preact,27296.0,27296.0,38,True,2,,,
3,Lit,withastro/astro,@astrojs/lit,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-19 17:08:57,2023-10-18 18:24:50,6612,727.0,1811.0,179,5232.0,103.0,3272.0,36060.0,2023-10-18 12:33:28,@astrojs/sitemap@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",67240.0,67240.0,623.0,https://www.npmjs.com/package/@astrojs/lit,11113.0,11113.0,38,True,2,,,
4,SolidJS,withastro/astro,@astrojs/solid-js,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-19 17:08:57,2023-10-18 18:24:50,6612,727.0,1811.0,179,5232.0,103.0,3272.0,36060.0,2023-10-18 12:33:28,@astrojs/sitemap@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",67240.0,67240.0,623.0,https://www.npmjs.com/package/@astrojs/solid-js,19365.0,19365.0,38,True,2,,,
5,Svelte,withastro/astro,@astrojs/svelte,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-19 17:08:57,2023-10-18 18:24:50,6612,727.0,1811.0,179,5232.0,103.0,3272.0,36060.0,2023-10-18 12:33:28,@astrojs/sitemap@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",67240.0,67240.0,623.0,https://www.npmjs.com/package/@astrojs/svelte,48675.0,48675.0,38,True,2,,,
6,Vue,withastro/astro,@astrojs/vue,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-19 17:08:57,2023-10-18 18:24:50,6612,727.0,1811.0,179,5232.0,103.0,3272.0,36060.0,2023-10-18 12:33:28,@astrojs/sitemap@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",67240.0,67240.0,623.0,https://www.npmjs.com/package/@astrojs/vue,53358.0,53358.0,38,True,2,,,
7,Cloudflare,withastro/astro,@astrojs/cloudflare,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-19 17:08:57,2023-10-18 18:24:50,6612,727.0,1811.0,179,5232.0,103.0,3272.0,36060.0,2023-10-18 12:33:28,@astrojs/sitemap@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",67240.0,67240.0,623.0,https://www.npmjs.com/package/@astrojs/cloudflare,34640.0,34640.0,38,True,2,,,
8,Netlify,withastro/astro,@astrojs/netlify,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-19 17:08:57,2023-10-18 18:24:50,6612,727.0,1811.0,179,5232.0,103.0,3272.0,36060.0,2023-10-18 12:33:28,@astrojs/sitemap@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",67240.0,67240.0,623.0,https://www.npmjs.com/package/@astrojs/netlify,18705.0,18705.0,38,True,2,,,
9,Vercel,withastro/astro,@astrojs/vercel,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-19 17:08:57,2023-10-18 18:24:50,6612,727.0,1811.0,179,5232.0,103.0,3272.0,36060.0,2023-10-18 12:33:28,@astrojs/sitemap@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",67240.0,67240.0,623.0,https://www.npmjs.com/package/@astrojs/vercel,44174.0,44174.0,38,True,2,,,
