,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,labels,trending
0,React,withastro/astro,@astrojs/react,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-07-27 17:39:14,2023-07-27 12:59:49,5916,542.0,1635.0,164,4624.0,163.0,2817.0,32203.0,2023-07-25 19:18:48,@astrojs/markdoc@0.4.4,100.0,The all-in-one web framework designed for speed. Star to support our work!.,50346.0,50346.0,544.0,https://www.npmjs.com/package/@astrojs/react,126885.0,126885.0,39,True,1,,,
1,Preact,withastro/astro,@astrojs/preact,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-07-27 17:39:14,2023-07-27 12:59:49,5916,542.0,1635.0,164,4624.0,163.0,2817.0,32203.0,2023-07-25 19:18:48,@astrojs/markdoc@0.4.4,100.0,The all-in-one web framework designed for speed. Star to support our work!.,50346.0,50346.0,544.0,https://www.npmjs.com/package/@astrojs/preact,21892.0,21892.0,38,True,2,,,
2,SolidJS,withastro/astro,@astrojs/solid-js,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-07-27 17:39:14,2023-07-27 12:59:49,5916,542.0,1635.0,164,4624.0,163.0,2817.0,32203.0,2023-07-25 19:18:48,@astrojs/markdoc@0.4.4,100.0,The all-in-one web framework designed for speed. Star to support our work!.,50346.0,50346.0,544.0,https://www.npmjs.com/package/@astrojs/solid-js,20344.0,20344.0,38,True,2,,,
3,Svelte,withastro/astro,@astrojs/svelte,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-07-27 17:39:14,2023-07-27 12:59:49,5916,542.0,1635.0,164,4624.0,163.0,2817.0,32203.0,2023-07-25 19:18:48,@astrojs/markdoc@0.4.4,100.0,The all-in-one web framework designed for speed. Star to support our work!.,50346.0,50346.0,544.0,https://www.npmjs.com/package/@astrojs/svelte,36996.0,36996.0,38,True,2,,,
4,Vue,withastro/astro,@astrojs/vue,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-07-27 17:39:14,2023-07-27 12:59:49,5916,542.0,1635.0,164,4624.0,163.0,2817.0,32203.0,2023-07-25 19:18:48,@astrojs/markdoc@0.4.4,100.0,The all-in-one web framework designed for speed. Star to support our work!.,50346.0,50346.0,544.0,https://www.npmjs.com/package/@astrojs/vue,39843.0,39843.0,38,True,2,,,
5,Cloudflare,withastro/astro,@astrojs/cloudflare,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-07-27 17:39:14,2023-07-27 12:59:49,5916,542.0,1635.0,164,4624.0,163.0,2817.0,32203.0,2023-07-25 19:18:48,@astrojs/markdoc@0.4.4,100.0,The all-in-one web framework designed for speed. Star to support our work!.,50346.0,50346.0,544.0,https://www.npmjs.com/package/@astrojs/cloudflare,24560.0,24560.0,38,True,1,,,
6,Netlify,withastro/astro,@astrojs/netlify,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-07-27 17:39:14,2023-07-27 12:59:49,5916,542.0,1635.0,164,4624.0,163.0,2817.0,32203.0,2023-07-25 19:18:48,@astrojs/markdoc@0.4.4,100.0,The all-in-one web framework designed for speed. Star to support our work!.,50346.0,50346.0,544.0,https://www.npmjs.com/package/@astrojs/netlify,17241.0,17241.0,38,True,1,,,
7,Node,withastro/astro,@astrojs/node,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-07-27 17:39:14,2023-07-27 12:59:49,5916,542.0,1635.0,164,4624.0,163.0,2817.0,32203.0,2023-07-25 19:18:48,@astrojs/markdoc@0.4.4,100.0,The all-in-one web framework designed for speed. Star to support our work!.,50346.0,50346.0,544.0,https://www.npmjs.com/package/@astrojs/node,43633.0,43633.0,38,True,1,,,
8,Vercel,withastro/astro,@astrojs/vercel,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-07-27 17:39:14,2023-07-27 12:59:49,5916,542.0,1635.0,164,4624.0,163.0,2817.0,32203.0,2023-07-25 19:18:48,@astrojs/markdoc@0.4.4,100.0,The all-in-one web framework designed for speed. Star to support our work!.,50346.0,50346.0,544.0,https://www.npmjs.com/package/@astrojs/vercel,31573.0,31573.0,38,True,1,,,
9,AlpineJS,withastro/astro,@astrojs/alpinejs,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-07-27 17:39:14,2023-07-27 12:59:49,5916,542.0,1635.0,164,4624.0,163.0,2817.0,32203.0,2023-07-25 19:18:48,@astrojs/markdoc@0.4.4,100.0,The all-in-one web framework designed for speed. Star to support our work!.,50346.0,50346.0,544.0,https://www.npmjs.com/package/@astrojs/alpinejs,5002.0,5002.0,37,True,3,,,
