,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,labels
0,React,withastro/astro,@astrojs/react,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-23 17:57:31,2023-11-23 01:43:18,6781,521.0,1877.0,186,5418.0,118.0,3379.0,37163.0,2023-11-22 14:15:42,astro@3.6.0,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",74296.0,74296.0,644.0,https://www.npmjs.com/package/@astrojs/react,280013.0,280013.0,39,True,1,,,
1,Node,withastro/astro,@astrojs/node,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-23 17:57:31,2023-11-23 01:43:18,6781,521.0,1877.0,186,5418.0,118.0,3379.0,37163.0,2023-11-22 14:15:42,astro@3.6.0,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",74296.0,74296.0,644.0,https://www.npmjs.com/package/@astrojs/node,71772.0,71772.0,39,True,1,,,
2,Preact,withastro/astro,@astrojs/preact,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-23 17:57:31,2023-11-23 01:43:18,6781,521.0,1877.0,186,5418.0,118.0,3379.0,37163.0,2023-11-22 14:15:42,astro@3.6.0,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",74296.0,74296.0,644.0,https://www.npmjs.com/package/@astrojs/preact,23266.0,23266.0,38,True,2,,,
3,Lit,withastro/astro,@astrojs/lit,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-23 17:57:31,2023-11-23 01:43:18,6781,521.0,1877.0,186,5418.0,118.0,3379.0,37163.0,2023-11-22 14:15:42,astro@3.6.0,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",74296.0,74296.0,644.0,https://www.npmjs.com/package/@astrojs/lit,10139.0,10139.0,38,True,2,,,
4,SolidJS,withastro/astro,@astrojs/solid-js,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-23 17:57:31,2023-11-23 01:43:18,6781,521.0,1877.0,186,5418.0,118.0,3379.0,37163.0,2023-11-22 14:15:42,astro@3.6.0,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",74296.0,74296.0,644.0,https://www.npmjs.com/package/@astrojs/solid-js,18312.0,18312.0,38,True,2,,,
5,Svelte,withastro/astro,@astrojs/svelte,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-23 17:57:31,2023-11-23 01:43:18,6781,521.0,1877.0,186,5418.0,118.0,3379.0,37163.0,2023-11-22 14:15:42,astro@3.6.0,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",74296.0,74296.0,644.0,https://www.npmjs.com/package/@astrojs/svelte,49877.0,49877.0,38,True,2,,,
6,Vue,withastro/astro,@astrojs/vue,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-23 17:57:31,2023-11-23 01:43:18,6781,521.0,1877.0,186,5418.0,118.0,3379.0,37163.0,2023-11-22 14:15:42,astro@3.6.0,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",74296.0,74296.0,644.0,https://www.npmjs.com/package/@astrojs/vue,57010.0,57010.0,38,True,2,,,
7,Cloudflare,withastro/astro,@astrojs/cloudflare,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-23 17:57:31,2023-11-23 01:43:18,6781,521.0,1877.0,186,5418.0,118.0,3379.0,37163.0,2023-11-22 14:15:42,astro@3.6.0,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",74296.0,74296.0,644.0,https://www.npmjs.com/package/@astrojs/cloudflare,37226.0,37226.0,38,True,2,,,
8,Netlify,withastro/astro,@astrojs/netlify,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-23 17:57:31,2023-11-23 01:43:18,6781,521.0,1877.0,186,5418.0,118.0,3379.0,37163.0,2023-11-22 14:15:42,astro@3.6.0,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",74296.0,74296.0,644.0,https://www.npmjs.com/package/@astrojs/netlify,20688.0,20688.0,38,True,2,,,
9,Vercel,withastro/astro,@astrojs/vercel,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-23 17:57:31,2023-11-23 01:43:18,6781,521.0,1877.0,186,5418.0,118.0,3379.0,37163.0,2023-11-22 14:15:42,astro@3.6.0,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",74296.0,74296.0,644.0,https://www.npmjs.com/package/@astrojs/vercel,43745.0,43745.0,38,True,2,,,
