,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,labels,trending
0,React,withastro/astro,@astrojs/react,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-05 17:59:11,2023-10-05 17:58:03,6555,786.0,1782.0,177,5163.0,105.0,3227.0,35713.0,2023-10-02 15:58:33,@astrojs/markdoc@0.5.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",64425.0,64425.0,616.0,https://www.npmjs.com/package/@astrojs/react,242049.0,242049.0,39,True,1,,,
1,Node,withastro/astro,@astrojs/node,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-05 17:59:11,2023-10-05 17:58:03,6555,786.0,1782.0,177,5163.0,105.0,3227.0,35713.0,2023-10-02 15:58:33,@astrojs/markdoc@0.5.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",64425.0,64425.0,616.0,https://www.npmjs.com/package/@astrojs/node,63619.0,63619.0,39,True,1,,,
2,Preact,withastro/astro,@astrojs/preact,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-05 17:59:11,2023-10-05 17:58:03,6555,786.0,1782.0,177,5163.0,105.0,3227.0,35713.0,2023-10-02 15:58:33,@astrojs/markdoc@0.5.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",64425.0,64425.0,616.0,https://www.npmjs.com/package/@astrojs/preact,26582.0,26582.0,38,True,2,,,
3,Lit,withastro/astro,@astrojs/lit,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-05 17:59:11,2023-10-05 17:58:03,6555,786.0,1782.0,177,5163.0,105.0,3227.0,35713.0,2023-10-02 15:58:33,@astrojs/markdoc@0.5.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",64425.0,64425.0,616.0,https://www.npmjs.com/package/@astrojs/lit,11680.0,11680.0,38,True,2,,,
4,SolidJS,withastro/astro,@astrojs/solid-js,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-05 17:59:11,2023-10-05 17:58:03,6555,786.0,1782.0,177,5163.0,105.0,3227.0,35713.0,2023-10-02 15:58:33,@astrojs/markdoc@0.5.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",64425.0,64425.0,616.0,https://www.npmjs.com/package/@astrojs/solid-js,20002.0,20002.0,38,True,2,,,
5,Svelte,withastro/astro,@astrojs/svelte,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-05 17:59:11,2023-10-05 17:58:03,6555,786.0,1782.0,177,5163.0,105.0,3227.0,35713.0,2023-10-02 15:58:33,@astrojs/markdoc@0.5.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",64425.0,64425.0,616.0,https://www.npmjs.com/package/@astrojs/svelte,47567.0,47567.0,38,True,2,,,
6,Vue,withastro/astro,@astrojs/vue,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-05 17:59:11,2023-10-05 17:58:03,6555,786.0,1782.0,177,5163.0,105.0,3227.0,35713.0,2023-10-02 15:58:33,@astrojs/markdoc@0.5.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",64425.0,64425.0,616.0,https://www.npmjs.com/package/@astrojs/vue,55105.0,55105.0,38,True,2,,,
7,Cloudflare,withastro/astro,@astrojs/cloudflare,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-05 17:59:11,2023-10-05 17:58:03,6555,786.0,1782.0,177,5163.0,105.0,3227.0,35713.0,2023-10-02 15:58:33,@astrojs/markdoc@0.5.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",64425.0,64425.0,616.0,https://www.npmjs.com/package/@astrojs/cloudflare,34401.0,34401.0,38,True,2,,,
8,Netlify,withastro/astro,@astrojs/netlify,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-05 17:59:11,2023-10-05 17:58:03,6555,786.0,1782.0,177,5163.0,105.0,3227.0,35713.0,2023-10-02 15:58:33,@astrojs/markdoc@0.5.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",64425.0,64425.0,616.0,https://www.npmjs.com/package/@astrojs/netlify,20671.0,20671.0,38,True,2,,,
9,Vercel,withastro/astro,@astrojs/vercel,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-10-05 17:59:11,2023-10-05 17:58:03,6555,786.0,1782.0,177,5163.0,105.0,3227.0,35713.0,2023-10-02 15:58:33,@astrojs/markdoc@0.5.1,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",64425.0,64425.0,616.0,https://www.npmjs.com/package/@astrojs/vercel,46902.0,46902.0,38,True,2,,,
