,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,labels
12,VSCode Astro Language Tools,withastro/language-tools,,integrations-ide,https://github.com/withastro/language-tools,https://github.com/withastro/language-tools,2021-08-20 19:47:14,2023-11-21 09:42:41,2023-11-13 10:58:46,503,26.0,33.0,11,411.0,40.0,249.0,181.0,2023-11-02 11:44:26,@astrojs/check@0.3.1,100.0,Language tools for Astro.,3916.0,3916.0,28.0,,,,24,True,1,MIT,1.0,
13,Astro SEO,jonasmerlin/astro-seo,,integrations-seo,https://github.com/jonasmerlin/astro-seo,https://github.com/jonasmerlin/astro-seo,2021-08-28 09:35:19,2023-10-24 21:32:21,2023-08-27 10:35:06,236,,39.0,3,50.0,7.0,23.0,625.0,2023-08-27 10:35:44,0.8.0,26.0,Makes it easy to add information that is relevant for SEO to your Astro app.,2789.0,2789.0,23.0,,,,22,True,1,MIT,,
14,AstroWind,onwidget/astrowind,,gh-template-theme,https://github.com/onwidget/astrowind,https://github.com/onwidget/astrowind,2022-06-24 03:13:29,2023-11-23 16:09:52,2023-11-23 16:09:52,938,42.0,407.0,31,136.0,10.0,75.0,1664.0,,,8.0,AstroWind: A free template using Astro 3.0 and Tailwind CSS. Astro starter theme.,,,32.0,,,,19,True,1,MIT,-1.0,"['tailwind', 'typescript']"
15,astro-navbar,surjithctly/astro-navbar,astro-navbar,components,https://github.com/surjithctly/astro-navbar,https://github.com/surjithctly/astro-navbar,2023-01-02 13:50:31,2023-10-14 15:05:16,2023-10-14 15:04:40,47,13.0,8.0,4,8.0,,11.0,74.0,2023-10-14 15:05:16,2.3.0,12.0,Astro-Navbar is a fully responsive headless navigation bar for Astro. It supports mobile responsive toggle and..,1037.0,1037.0,6.0,https://www.npmjs.com/package/astro-navbar,6438.0,6438.0,19,True,1,,,
16,Astrofy,manuelernestog/astrofy,,gh-template-theme,https://github.com/manuelernestog/astrofy,https://github.com/manuelernestog/astrofy,2022-09-14 14:08:22,2023-10-26 15:11:48,2023-10-05 19:51:22,186,36.0,160.0,5,27.0,5.0,19.0,460.0,2023-06-08 16:31:28,2.5.0,5.0,Astrofy is a free and open-source template for your Personal Portfolio Website built with Astro and TailwindCSS...,,,15.0,,,,17,True,2,MIT,,
17,Odyssey Theme,littlesticks/odyssey-theme,,gh-template-theme,https://github.com/littlesticks/odyssey-theme,https://github.com/littlesticks/odyssey-theme,2022-05-15 03:10:17,2023-08-29 21:31:24,2023-05-02 18:22:05,184,,105.0,6,14.0,8.0,16.0,381.0,2022-12-15 17:28:57,2.0.2,4.0,A modern business marketing website theme/starter built with Astro.,393.0,393.0,3.0,,,,17,True,2,MIT,,
18,Storyblok,storyblok/storyblok-astro,,integrations-cms,https://github.com/storyblok/storyblok-astro,https://github.com/storyblok/storyblok-astro,2022-08-31 12:29:30,2023-11-30 05:10:36,2023-11-29 11:49:47,841,182.0,16.0,17,550.0,4.0,25.0,80.0,2023-09-20 09:38:56,3.0.1,52.0,,236.0,236.0,12.0,,,,17,False,1,,,
19,Decap CMS (Netlify CMS),delucis/astro-netlify-cms,,integrations-cms,https://github.com/delucis/astro-netlify-cms,https://github.com/delucis/astro-netlify-cms,2022-01-26 20:32:40,2023-10-18 02:27:10,2023-08-30 10:55:14,136,,21.0,5,54.0,12.0,18.0,151.0,2023-08-30 10:55:47,0.5.4,18.0,Integration to add Netlify CMSs admin dashboard to any Astro project.,570.0,570.0,6.0,,,,16,True,3,,1.0,
20,AstroShip,surjithctly/astroship,,gh-template-theme,https://github.com/surjithctly/astroship,https://github.com/surjithctly/astroship,2022-11-01 10:14:05,2023-11-17 14:37:20,2023-11-15 08:38:06,69,5.0,179.0,9,22.0,2.0,18.0,798.0,2023-08-02 14:18:58,2.1.0,4.0,"Astroship is a starter template for startups, marketing websites, landing pages & blog. Built with Astro & TailwindCSS.",,,9.0,,,,14,True,2,GPL-3.0,,
21,Astro SPA,RafidMuhymin/astro-spa,,integrations-spa,https://github.com/RafidMuhymin/astro-spa,https://github.com/RafidMuhymin/astro-spa,2021-08-29 17:39:25,2022-10-03 17:01:31,2022-04-19 10:17:26,182,,13.0,5,3.0,4.0,3.0,358.0,2022-04-19 10:18:15,1.3.9,65.0,An Astro JS component that turns a website into an SPA and boost performance using various techniques.,92.0,92.0,2.0,,,,14,True,1,MIT,,
22,Astros,zankhq/astros,,theme,https://github.com/zankhq/astros,https://github.com/zankhq/astros,2021-11-22 21:16:03,2023-11-06 07:02:36,2023-11-06 07:02:36,147,13.0,26.0,4,16.0,1.0,7.0,62.0,2023-08-12 01:11:26,1.0.0,2.0,"Template with astro, tailwind and alpinejs.",,,4.0,,,,13,True,1,GPL-3.0,,"['tailwind', 'alpinejs']"
