,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,labels,trending
0,React,withastro/astro,@astrojs/react,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-12-14 17:42:53,2023-12-14 17:41:06,6958,525.0,1915.0,186,5559.0,134.0,3466.0,37779.0,2023-12-14 14:02:44,astro@4.0.5,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",78402.0,78402.0,658.0,https://www.npmjs.com/package/@astrojs/react,293781.0,293781.0,40,True,1,,,
1,Vue,withastro/astro,@astrojs/vue,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-12-14 17:42:53,2023-12-14 17:41:06,6958,525.0,1915.0,186,5559.0,134.0,3466.0,37779.0,2023-12-14 14:02:44,astro@4.0.5,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",78402.0,78402.0,658.0,https://www.npmjs.com/package/@astrojs/vue,61684.0,61684.0,40,True,1,,,
2,Node,withastro/astro,@astrojs/node,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-12-14 17:42:53,2023-12-14 17:41:06,6958,525.0,1915.0,186,5559.0,134.0,3466.0,37779.0,2023-12-14 14:02:44,astro@4.0.5,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",78402.0,78402.0,658.0,https://www.npmjs.com/package/@astrojs/node,88166.0,88166.0,40,True,1,,,
3,Preact,withastro/astro,@astrojs/preact,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-12-14 17:42:53,2023-12-14 17:41:06,6958,525.0,1915.0,186,5559.0,134.0,3466.0,37779.0,2023-12-14 14:02:44,astro@4.0.5,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",78402.0,78402.0,658.0,https://www.npmjs.com/package/@astrojs/preact,26048.0,26048.0,39,True,2,,,
4,Lit,withastro/astro,@astrojs/lit,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-12-14 17:42:53,2023-12-14 17:41:06,6958,525.0,1915.0,186,5559.0,134.0,3466.0,37779.0,2023-12-14 14:02:44,astro@4.0.5,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",78402.0,78402.0,658.0,https://www.npmjs.com/package/@astrojs/lit,12962.0,12962.0,39,True,2,,,
5,SolidJS,withastro/astro,@astrojs/solid-js,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-12-14 17:42:53,2023-12-14 17:41:06,6958,525.0,1915.0,186,5559.0,134.0,3466.0,37779.0,2023-12-14 14:02:44,astro@4.0.5,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",78402.0,78402.0,658.0,https://www.npmjs.com/package/@astrojs/solid-js,19836.0,19836.0,39,True,2,,,
6,Svelte,withastro/astro,@astrojs/svelte,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-12-14 17:42:53,2023-12-14 17:41:06,6958,525.0,1915.0,186,5559.0,134.0,3466.0,37779.0,2023-12-14 14:02:44,astro@4.0.5,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",78402.0,78402.0,658.0,https://www.npmjs.com/package/@astrojs/svelte,58763.0,58763.0,39,True,2,,,
7,Cloudflare,withastro/astro,@astrojs/cloudflare,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-12-14 17:42:53,2023-12-14 17:41:06,6958,525.0,1915.0,186,5559.0,134.0,3466.0,37779.0,2023-12-14 14:02:44,astro@4.0.5,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",78402.0,78402.0,658.0,https://www.npmjs.com/package/@astrojs/cloudflare,40154.0,40154.0,39,True,2,,,
8,Netlify,withastro/astro,@astrojs/netlify,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-12-14 17:42:53,2023-12-14 17:41:06,6958,525.0,1915.0,186,5559.0,134.0,3466.0,37779.0,2023-12-14 14:02:44,astro@4.0.5,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",78402.0,78402.0,658.0,https://www.npmjs.com/package/@astrojs/netlify,22746.0,22746.0,39,True,2,,,
9,Vercel,withastro/astro,@astrojs/vercel,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-12-14 17:42:53,2023-12-14 17:41:06,6958,525.0,1915.0,186,5559.0,134.0,3466.0,37779.0,2023-12-14 14:02:44,astro@4.0.5,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",78402.0,78402.0,658.0,https://www.npmjs.com/package/@astrojs/vercel,50028.0,50028.0,39,True,2,,,
