,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,labels
0,React,withastro/astro,@astrojs/react,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-24 17:51:23,2023-08-24 17:36:58,6239,688.0,1675.0,166,4871.0,95.0,2999.0,32950.0,2023-08-24 14:06:55,@astrojs/cloudflare@6.8.1,100.0,The all-in-one web framework designed for speed. Star to support our work!.,54960.0,54960.0,579.0,https://www.npmjs.com/package/@astrojs/react,155759.0,155759.0,39,True,1,,,
1,Preact,withastro/astro,@astrojs/preact,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-24 17:51:23,2023-08-24 17:36:58,6239,688.0,1675.0,166,4871.0,95.0,2999.0,32950.0,2023-08-24 14:06:55,@astrojs/cloudflare@6.8.1,100.0,The all-in-one web framework designed for speed. Star to support our work!.,54960.0,54960.0,579.0,https://www.npmjs.com/package/@astrojs/preact,23242.0,23242.0,38,True,2,,,
2,SolidJS,withastro/astro,@astrojs/solid-js,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-24 17:51:23,2023-08-24 17:36:58,6239,688.0,1675.0,166,4871.0,95.0,2999.0,32950.0,2023-08-24 14:06:55,@astrojs/cloudflare@6.8.1,100.0,The all-in-one web framework designed for speed. Star to support our work!.,54960.0,54960.0,579.0,https://www.npmjs.com/package/@astrojs/solid-js,20625.0,20625.0,38,True,2,,,
3,Svelte,withastro/astro,@astrojs/svelte,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-24 17:51:23,2023-08-24 17:36:58,6239,688.0,1675.0,166,4871.0,95.0,2999.0,32950.0,2023-08-24 14:06:55,@astrojs/cloudflare@6.8.1,100.0,The all-in-one web framework designed for speed. Star to support our work!.,54960.0,54960.0,579.0,https://www.npmjs.com/package/@astrojs/svelte,35511.0,35511.0,38,True,2,,,
4,Vue,withastro/astro,@astrojs/vue,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-24 17:51:23,2023-08-24 17:36:58,6239,688.0,1675.0,166,4871.0,95.0,2999.0,32950.0,2023-08-24 14:06:55,@astrojs/cloudflare@6.8.1,100.0,The all-in-one web framework designed for speed. Star to support our work!.,54960.0,54960.0,579.0,https://www.npmjs.com/package/@astrojs/vue,44869.0,44869.0,38,True,2,,,
5,Cloudflare,withastro/astro,@astrojs/cloudflare,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-24 17:51:23,2023-08-24 17:36:58,6239,688.0,1675.0,166,4871.0,95.0,2999.0,32950.0,2023-08-24 14:06:55,@astrojs/cloudflare@6.8.1,100.0,The all-in-one web framework designed for speed. Star to support our work!.,54960.0,54960.0,579.0,https://www.npmjs.com/package/@astrojs/cloudflare,25755.0,25755.0,38,True,1,,,
6,Netlify,withastro/astro,@astrojs/netlify,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-24 17:51:23,2023-08-24 17:36:58,6239,688.0,1675.0,166,4871.0,95.0,2999.0,32950.0,2023-08-24 14:06:55,@astrojs/cloudflare@6.8.1,100.0,The all-in-one web framework designed for speed. Star to support our work!.,54960.0,54960.0,579.0,https://www.npmjs.com/package/@astrojs/netlify,16231.0,16231.0,38,True,1,,,
7,Node,withastro/astro,@astrojs/node,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-24 17:51:23,2023-08-24 17:36:58,6239,688.0,1675.0,166,4871.0,95.0,2999.0,32950.0,2023-08-24 14:06:55,@astrojs/cloudflare@6.8.1,100.0,The all-in-one web framework designed for speed. Star to support our work!.,54960.0,54960.0,579.0,https://www.npmjs.com/package/@astrojs/node,48176.0,48176.0,38,True,1,,,
8,Vercel,withastro/astro,@astrojs/vercel,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-24 17:51:23,2023-08-24 17:36:58,6239,688.0,1675.0,166,4871.0,95.0,2999.0,32950.0,2023-08-24 14:06:55,@astrojs/cloudflare@6.8.1,100.0,The all-in-one web framework designed for speed. Star to support our work!.,54960.0,54960.0,579.0,https://www.npmjs.com/package/@astrojs/vercel,30282.0,30282.0,38,True,1,,,
9,AlpineJS,withastro/astro,@astrojs/alpinejs,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-24 17:51:23,2023-08-24 17:36:58,6239,688.0,1675.0,166,4871.0,95.0,2999.0,32950.0,2023-08-24 14:06:55,@astrojs/cloudflare@6.8.1,100.0,The all-in-one web framework designed for speed. Star to support our work!.,54960.0,54960.0,579.0,https://www.npmjs.com/package/@astrojs/alpinejs,5102.0,5102.0,37,True,3,,,
10,Lit,withastro/astro,@astrojs/lit,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-24 17:51:23,2023-08-24 17:36:58,6239,688.0,1675.0,166,4871.0,95.0,2999.0,32950.0,2023-08-24 14:06:55,@astrojs/cloudflare@6.8.1,100.0,The all-in-one web framework designed for speed. Star to support our work!.,54960.0,54960.0,579.0,https://www.npmjs.com/package/@astrojs/lit,7740.0,7740.0,37,True,3,,,
11,Deno,withastro/astro,@astrojs/deno,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-24 17:51:23,2023-08-24 17:36:58,6239,688.0,1675.0,166,4871.0,95.0,2999.0,32950.0,2023-08-24 14:06:55,@astrojs/cloudflare@6.8.1,100.0,The all-in-one web framework designed for speed. Star to support our work!.,54960.0,54960.0,579.0,https://www.npmjs.com/package/@astrojs/deno,3342.0,3342.0,37,True,3,,,
12,Astro SEO,jonasmerlin/astro-seo,,integrations-seo,https://github.com/jonasmerlin/astro-seo,https://github.com/jonasmerlin/astro-seo,2021-08-28 09:35:19,2023-08-23 14:50:39,2023-08-21 12:57:07,231,18.0,34.0,3,47.0,6.0,21.0,520.0,2023-08-21 12:58:09,0.7.6,25.0,Makes it easy to add information that is relevant for SEO to your Astro app.,1899.0,1899.0,22.0,,,,23,True,1,MIT,1.0,
13,AstroWind,onwidget/astrowind,,gh-template-theme,https://github.com/onwidget/astrowind,https://github.com/onwidget/astrowind,2022-06-24 03:13:29,2023-08-24 14:40:23,2023-08-22 00:16:51,837,242.0,287.0,23,109.0,1.0,61.0,1228.0,,,8.0,AstroWind: A free template using Astro 2.0 and Tailwind CSS. Astro starter theme.,,,27.0,,,,21,True,1,MIT,,"['tailwind', 'typescript']"
14,VSCode Astro Language Tools,withastro/language-tools,,integrations-ide,https://github.com/withastro/language-tools,https://github.com/withastro/language-tools,2021-08-20 19:47:14,2023-08-24 12:17:52,2023-08-24 12:17:01,475,61.0,29.0,11,386.0,25.0,225.0,160.0,2023-08-24 12:17:53,astro-vscode@2.3.1,100.0,Language tools for Astro.,2.0,2.0,26.0,,,,19,True,1,MIT,,
15,Odyssey Theme,littlesticks/odyssey-theme,,gh-template-theme,https://github.com/littlesticks/odyssey-theme,https://github.com/littlesticks/odyssey-theme,2022-05-15 03:10:17,2023-05-02 18:22:08,2023-05-02 18:22:05,184,,84.0,6,13.0,5.0,16.0,330.0,2022-12-15 17:28:57,2.0.2,4.0,A modern business marketing website theme/starter built with Astro.,330.0,330.0,3.0,,,,17,True,2,MIT,,
16,Astrofy,manuelernestog/astrofy,,gh-template-theme,https://github.com/manuelernestog/astrofy,https://github.com/manuelernestog/astrofy,2022-09-14 14:08:22,2023-07-10 03:52:48,2023-07-10 03:48:14,150,42.0,106.0,4,19.0,3.0,12.0,330.0,2023-06-08 16:31:28,2.5.0,5.0,Astrofy is a free and open-source template for your Personal Portfolio Website built with Astro and TailwindCSS...,,,13.0,,,,16,True,2,MIT,-1.0,
17,Storyblok,storyblok/storyblok-astro,,integrations-cms,https://github.com/storyblok/storyblok-astro,https://github.com/storyblok/storyblok-astro,2022-08-31 12:29:30,2023-08-24 12:43:02,2023-08-24 12:42:55,651,300.0,17.0,16,401.0,5.0,19.0,72.0,2023-08-15 05:05:20,2.5.11,45.0,,179.0,179.0,12.0,,,,16,False,1,,,
18,Astro SPA,RafidMuhymin/astro-spa,,integrations-spa,https://github.com/RafidMuhymin/astro-spa,https://github.com/RafidMuhymin/astro-spa,2021-08-29 17:39:25,2022-10-03 17:01:31,2022-04-19 10:17:26,182,,12.0,6,3.0,4.0,3.0,340.0,2022-04-19 10:18:15,1.3.9,65.0,An Astro JS component that turns a website into an SPA and boost performance using various techniques.,84.0,84.0,2.0,,,,14,True,1,MIT,,
19,AstroShip,surjithctly/astroship,,gh-template-theme,https://github.com/surjithctly/astroship,https://github.com/surjithctly/astroship,2022-11-01 10:14:05,2023-08-12 15:59:45,2023-08-10 15:13:46,64,6.0,138.0,9,18.0,2.0,14.0,643.0,2023-08-02 14:18:58,2.1.0,4.0,"Astroship is a starter template for startups, marketing websites, landing pages & blog. Built with Astro & TailwindCSS.",,,9.0,,,,13,True,2,GPL-3.0,,
20,Decap CMS (Netlify CMS),delucis/astro-netlify-cms,,integrations-cms,https://github.com/delucis/astro-netlify-cms,https://github.com/delucis/astro-netlify-cms,2022-01-26 20:32:40,2023-07-11 10:02:36,2023-07-11 10:02:35,134,3.0,18.0,5,48.0,9.0,18.0,131.0,2023-02-01 23:26:54,0.5.3,17.0,Integration to add Netlify CMSs admin dashboard to any Astro project.,420.0,420.0,6.0,,,,13,True,3,,,
21,astro-terminal-player,JulianCataldo/web-garden,astro-terminal-player,components,https://github.com/JulianCataldo/web-garden,https://github.com/JulianCataldo/web-garden,2022-06-18 02:54:16,2023-07-17 10:29:14,2023-04-18 12:21:05,884,,12.0,2,65.0,12.0,8.0,108.0,,,,"Building blocks for making progressive and future-proof websites. Components collection features Astro, HTML, SCSS,..",44.0,44.0,5.0,https://www.npmjs.com/package/astro-terminal-player,54.0,54.0,13,True,1,ISC,1.0,
22,Astroplate,zeon-studio/astroplate,,gh-template-theme,https://github.com/zeon-studio/astroplate,https://github.com/zeon-studio/astroplate,2023-04-17 06:50:06,2023-08-19 03:05:31,2023-08-19 03:05:26,61,28.0,29.0,6,2.0,1.0,5.0,114.0,,,,"Astroplate is a free starter template built with Astro, TailwindCSS & TypeScript providing everything you need to..",,,4.0,,,,10,True,3,MIT,,['tailwind']
23,Accessible Astro Dashboard,markteekman/accessible-astro-dashboard,,gh-template-theme,https://github.com/markteekman/accessible-astro-dashboard,https://github.com/markteekman/accessible-astro-dashboard,2022-05-05 07:29:37,2023-03-29 07:59:10,2023-03-29 07:58:56,88,,17.0,4,11.0,,,88.0,2022-10-06 12:31:27,1.1.4,8.0,An Accessible Admin Dashboard Theme for Astro with a login page and a dashboard overview. Includes accessibility..,,,2.0,,,,9,True,3,MIT,,"['accessible-astro-components', 'javascript']"
24,Flowbite Astro Admin Dashboard,themesberg/flowbite-astro-admin-dashboard,,theme,https://github.com/themesberg/flowbite-astro-admin-dashboard,https://github.com/themesberg/flowbite-astro-admin-dashboard,2023-03-02 15:44:13,2023-04-12 04:31:06,2023-04-12 04:29:50,73,,36.0,8,,1.0,3.0,154.0,,,,"Open-source admin dashboard template built with Astro, Flowbite, and Tailwind CSS.",,,2.0,,,,8,True,1,MIT,,"['tailwind', 'flowbite']"
25,Bookworm Light Astro,themefisher/bookworm-light-astro,,gh-template-theme,https://github.com/themefisher/bookworm-light-astro,https://github.com/themefisher/bookworm-light-astro,2023-02-14 04:43:43,2023-08-19 03:04:26,2023-08-19 03:04:19,20,2.0,23.0,4,1.0,3.0,3.0,77.0,,,,"Bookworm Light is a feature-rich, minimal, highly customizable, easy-to-use Astro blog theme.",,,6.0,,,,8,True,3,MIT,2.0,"['tailwind', 'typescript']"
26,Astro Quickstart Template,netlify-templates/astro-quickstart,,gh-template-starter,https://github.com/netlify-templates/astro-quickstart,https://github.com/netlify-templates/astro-quickstart,2022-05-04 15:22:28,2023-08-21 03:22:46,2023-08-21 03:22:21,90,4.0,32.0,3,79.0,2.0,1.0,36.0,,,,A bare-bones Astro template to get you deployed to Netlify fast!.,,,5.0,,,,7,True,1,,,
27,Astrolus,Tailus-UI/astro-theme,,gh-template-theme,https://github.com/Tailus-UI/astro-theme,https://github.com/Tailus-UI/astro-theme,2022-09-04 11:34:15,2023-03-31 13:23:55,2023-03-31 13:23:40,20,,28.0,2,1.0,,1.0,77.0,,,,Home page template built with astro and tailwindcss using tailus blocks.,,,2.0,,,,5,True,3,MIT,,"['tailwind', 'tailus', 'typescript']"
28,Astro Starter Kit - Docs Site,advanced-astro/astro-docs-template,,gh-template-theme,https://github.com/advanced-astro/astro-docs-template,https://github.com/advanced-astro/astro-docs-template,2023-01-29 16:52:59,2023-07-18 09:38:00,2023-03-17 16:01:22,22,,2.0,1,15.0,2.0,,17.0,,,,The Advanced Astro 2.0 Docs Template.,,,2.0,,,,3,False,3,,,['typescript']
29,Firebase,thepassle/astro-firebase,,integrations-ssr,https://github.com/thepassle/astro-firebase,https://github.com/thepassle/astro-firebase,2022-04-28 08:24:21,2022-05-05 13:10:13,2022-05-05 13:10:12,4,,,3,,2.0,,14.0,,,,,7.0,7.0,,,,,3,False,3,,,
30,Contentful,ajsummerfield/contentful-astro,,integrations-cms,https://github.com/ajsummerfield/contentful-astro,https://github.com/ajsummerfield/contentful-astro,2023-02-09 18:23:03,2023-02-11 19:04:37,2023-02-11 19:01:07,13,,,1,,1.0,,,2023-02-11 19:04:37,1.1.0,2.0,,1.0,1.0,,,,,3,False,3,,,
